Geography,Year,Sex,Drug Type,Dispensation Rate,Total Dispensation,Unique Dispensation,Total Population,Standard Error,Standard Score,Alberta Rate
Z2,2010,BOTH,THIRD-G-CEPHALOSPORINS,2.7294946511,4920.0,3785.0,1385145.3792,0.0456423396,-22.80613259,3.7704198985
Z2,2010,BOTH,TRIMETHOPRIM AND DERIVATIVES,0.43634993190000004,1414.0,532.0,1385145.3792,0.0196560952,3.2345485235,0.3727713382
Z2,2010,F,ANY ANTIMICROBIALS,308.8324817,384474.0,209051.0,683903.86588,0.6888151652000001,-30.82073626,330.06227223
Z2,2010,F,BETA-L-PENICILLIN,105.76037701,94315.0,72879.0,683903.86588,0.39882351420000006,-4.97463512,107.74437847
Z2,2010,F,BETA-L-RESISTANT-PENICILLIN,4.0339176554,3068.0,2752.0,683903.86588,0.0785188581,-30.47329235,6.426645774000001
Z2,2010,F,BETA-L-SENSITIVE-PENICILLIN,17.330503179,13624.0,12075.0,683903.86588,0.1603685453,-14.645283630000002,19.679146009
Z2,2010,F,CARBAPENEMS,0.0973590704,138.0,61.0,683903.86588,0.0127493295,2.6133681525,0.0640403786
Z2,2010,F,COMBINATION PENICILLIN,9.3728255742,7453.0,6314.0,683903.86588,0.1203661842,-35.08849301,13.596293588
Z2,2010,F,COMBINATION SULFONAMIDES & TRIMETHORPIM,23.728255201000003,22538.0,15714.0,683903.86588,0.193049511,-25.33097445,28.618387432000002
Z2,2010,F,FIRST-G-CEPHALOSPORINS,36.568338126,30308.0,24344.0,683903.86588,0.23939966270000002,-7.290664976,38.313720862000004
Z2,2010,F,FLUOROQUINOLONES,66.97815353600001,56927.0,42660.0,683903.86588,0.33145739490000004,-36.05671093,78.92941701100001
Z2,2010,F,GLYCOPEPTIDE ANTIBACTERIALS,0.1542669513,282.0,99.0,683903.86588,0.0158705571,2.5861379639,0.11322350110000001
Z2,2010,F,IMIDAZOLE DERIVATIVES,0.5558852278,439.0,387.0,683903.86588,0.0289449327,0.8974935589,0.5299073371
Z2,2010,F,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,LINCOSAMIDES,14.495192149000001,12212.0,9609.0,683903.86588,0.1509354508,-42.58494865,20.922770571
Z2,2010,F,MACROLIDES,86.010415835,73650.0,58503.0,683903.86588,0.36233513920000004,-12.466971280000001,90.527637611
Z2,2010,F,NITROFURAN DERIVATIVES,26.640367745000002,24405.0,17570.0,683903.86588,0.2057069886,2.5057316937,26.124921224
Z2,2010,F,OTHER AMINOGLYCOSIDES,0.2391919154,399.0,159.0,683903.86588,0.0193228041,3.6635477146,0.1684019007
Z2,2010,F,OTHER ANTIBACTERIALS,0.0842474655,205.0,49.0,683903.86588,0.0122471636,0.35737237380000003,0.0798706676
Z2,2010,F,OTHER CEPHALOSPORINS,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,SECOND-G-CEPHALOSPORINS,18.06913045,14605.0,12391.0,683903.86588,0.1651871625,-3.160650531,18.591229343
Z2,2010,F,STEROID ANTIBACTERIALS,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,STREPTOMYCIN,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,TETRACYCLINES,22.183976309000002,25935.0,15626.0,683903.86588,0.1807755959,-11.648964560000001,24.289824818000003
Z2,2010,F,THIRD-G-CEPHALOSPORINS,3.3780582717,2973.0,2358.0,683903.86588,0.0708164247,-23.1971501,5.0207975061
Z2,2010,F,TRIMETHOPRIM AND DERIVATIVES,0.6820503000000001,1132.0,436.0,683903.86588,0.0333692913,3.2769504828000002,0.5727007849
Z2,2010,M,ANY ANTIMICROBIALS,229.44413739,264740.0,153320.0,701241.51335,0.6147980186,-20.276724240000004,241.91022727
Z2,2010,M,BETA-L-PENICILLIN,87.158092936,77890.0,59992.0,701241.51335,0.37071521230000004,1.5447572609,86.58542792
Z2,2010,M,BETA-L-RESISTANT-PENICILLIN,3.8687991440000005,2988.0,2527.0,701241.51335,0.0813466513,-29.441901700000003,6.2637992561
Z2,2010,M,BETA-L-SENSITIVE-PENICILLIN,14.284366699000001,11124.0,9910.0,701241.51335,0.1488697173,-9.215550981000002,15.656283168000002
Z2,2010,M,CARBAPENEMS,0.0688452632,141.0,38.0,701241.51335,0.011903164,1.4770087374,0.051264186
Z2,2010,M,COMBINATION PENICILLIN,7.6270931512,5892.0,5049.0,701241.51335,0.1133040393,-29.17440574,10.932671166
Z2,2010,M,COMBINATION SULFONAMIDES & TRIMETHORPIM,11.702725138000002,12270.0,7104.0,701241.51335,0.1483723992,-1.550572911,11.932787361
Z2,2010,M,FIRST-G-CEPHALOSPORINS,32.560486503,26217.0,21003.0,701241.51335,0.23762951570000002,-11.240803280000002,35.231633141
Z2,2010,M,FLUOROQUINOLONES,39.680257038,30730.0,22640.0,701241.51335,0.2802419741,-18.61187629,44.896085992
Z2,2010,M,GLYCOPEPTIDE ANTIBACTERIALS,0.2620231189,417.0,162.0,701241.51335,0.0215198828,4.471674919600001,0.16579319860000002
Z2,2010,M,IMIDAZOLE DERIVATIVES,0.2746280762,204.0,167.0,701241.51335,0.0228013816,2.1737428601,0.22506373570000002
Z2,2010,M,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,701241.51335,0.0028520682,0.0,0.0
Z2,2010,M,LINCOSAMIDES,10.207088774,8266.0,6690.0,701241.51335,0.1305812,-40.34023942,15.474765644
Z2,2010,M,MACROLIDES,63.727066647,54349.0,43993.0,701241.51335,0.31635031970000005,-5.053344469,65.325693785
Z2,2010,M,NITROFURAN DERIVATIVES,2.4511190955,1957.0,1189.0,701241.51335,0.0757854212,-1.557483282,2.569153622
Z2,2010,M,OTHER AMINOGLYCOSIDES,0.1482747288,248.0,95.0,701241.51335,0.0159422191,1.2851452764000002,0.1277866613
Z2,2010,M,OTHER ANTIBACTERIALS,0.0610144514,111.0,34.0,701241.51335,0.010969027,1.5099348503,0.0444519352
Z2,2010,M,OTHER CEPHALOSPORINS,0.0,0.0,0.0,701241.51335,0.0028520682,0.0,0.0
Z2,2010,M,SECOND-G-CEPHALOSPORINS,14.790471956000001,12206.0,10226.0,701241.51335,0.1528306908,2.7116650709,14.376046310000001
Z2,2010,M,STEROID ANTIBACTERIALS,0.0,0.0,0.0,701241.51335,0.0028520682,-0.21031766400000002,5.998403E-4
Z2,2010,M,STREPTOMYCIN,0.0,0.0,0.0,701241.51335,0.0028520682,0.0,0.0
Z2,2010,M,TETRACYCLINES,14.537177118,17462.0,9798.0,701241.51335,0.1529103698,-6.559303384,15.540162623
Z2,2010,M,THIRD-G-CEPHALOSPORINS,2.1020838421,1947.0,1427.0,701241.51335,0.0586659362,-7.199411886000001,2.5244440806
Z2,2010,M,TRIMETHOPRIM AND DERIVATIVES,0.1733261954,282.0,96.0,701241.51335,0.0192731967,0.5380335796,0.1629565684
Z2,2011,BOTH,ANY ANTIMICROBIALS,295.41020238000004,739159.0,408935.0,1412167.0807,0.4736677322,-34.35805105000001,311.68450251
Z2,2011,BOTH,BETA-L-PENICILLIN,109.26071515,202124.0,154871.0,1412167.0807,0.2838523742,-3.297209774,110.19663597
Z2,2011,BOTH,BETA-L-RESISTANT-PENICILLIN,3.1766474259,4998.0,4335.0,1412167.0807,0.0496589324,-41.84825695000001,5.2547871876
Z2,2011,BOTH,BETA-L-SENSITIVE-PENICILLIN,15.886021121,25396.0,22775.0,1412167.0807,0.1073545312,-18.65421851,17.888636005000002
Z2,2011,BOTH,CARBAPENEMS,0.0768739177,335.0,96.0,1412167.0807,0.0080416134,2.4597841101,0.0570932849
Z2,2011,BOTH,COMBINATION PENICILLIN,14.427580568,23420.0,19852.0,1412167.0807,0.10513909610000001,-51.49085670000001,19.841282699
Z2,2011,BOTH,COMBINATION SULFONAMIDES & TRIMETHORPIM,17.297396177,35217.0,22683.0,1412167.0807,0.11835745980000001,-22.774035150000003,19.992873127000003
Z2,2011,BOTH,FIRST-G-CEPHALOSPORINS,39.333218082,67228.0,52963.0,1412167.0807,0.1758659448,-13.46197867,41.70072168
Z2,2011,BOTH,FLUOROQUINOLONES,55.7451032,93780.0,70245.0,1412167.0807,0.21665285790000002,-39.63728486,64.332634243
Z2,2011,BOTH,FOURTH-G-CEPHALOSPORINS,0.0057462613,15.0,8.0,1412167.0807,0.0021426695,1.4937239021000002,0.0025457047
Z2,2011,BOTH,GLYCOPEPTIDE ANTIBACTERIALS,0.25768084010000003,907.0,331.0,1412167.0807,0.0145761781,7.0010406487,0.1556324248
Z2,2011,BOTH,IMIDAZOLE DERIVATIVES,0.33426399850000005,628.0,477.0,1412167.0807,0.0156982462,1.9318803094,0.30393686580000007
Z2,2011,BOTH,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,1412167.0807,0.001416259,0.0,0.0
Z2,2011,BOTH,LINCOSAMIDES,12.981643972,21999.0,17489.0,1412167.0807,0.10070634440000001,-61.36370706,19.161358590000003
Z2,2011,BOTH,MACROLIDES,85.41697546,151576.0,120964.0,1412167.0807,0.2510936234,-2.05320938,85.932523243
Z2,2011,BOTH,MONOBACTAMS,0.0046307025,13.0,7.0,1412167.0807,0.0017635952,0.483149602,0.0037786222
Z2,2011,BOTH,NITROFURAN DERIVATIVES,17.104261725,31074.0,22378.0,1412167.0807,0.1181714059,4.8231074217000005,16.53430834
Z2,2011,BOTH,OTHER AMINOGLYCOSIDES,0.1885121959,649.0,242.0,1412167.0807,0.0125308035,3.0824594487,0.1498865021
Z2,2011,BOTH,OTHER ANTIBACTERIALS,0.0913549613,268.0,102.0,1412167.0807,0.0092575489,3.3816756487000004,0.0600489336
Z2,2011,BOTH,OTHER CEPHALOSPORINS,0.0,0.0,0.0,1412167.0807,0.001416259,0.0,0.0
Z2,2011,BOTH,POLYMYXINS,0.0088533672,35.0,12.0,1412167.0807,0.0026328011,1.2359533698000003,0.0055993478
Z2,2011,BOTH,SECOND-G-CEPHALOSPORINS,17.357894576,29285.0,24506.0,1412167.0807,0.1134225462,3.0172736011,17.015667721
Z2,2011,BOTH,STEROID ANTIBACTERIALS,0.0,0.0,0.0,1412167.0807,0.001416259,0.0,0.0
Z2,2011,BOTH,STREPTOMYCIN,0.0,0.0,0.0,1412167.0807,0.001416259,0.0,0.0
Z2,2011,BOTH,TETRACYCLINES,18.218604255,44220.0,25456.0,1412167.0807,0.1167762363,-18.820165890000002,20.416352395
Z2,2011,BOTH,THIRD-G-CEPHALOSPORINS,2.6471549294,4890.0,3806.0,1412167.0807,0.0439879452,-43.05645407,4.5411198723
Z2,2011,BOTH,TRIMETHOPRIM AND DERIVATIVES,0.38345902240000007,1394.0,473.0,1412167.0807,0.0182307011,1.9470205448000002,0.34796347290000007
Z2,2011,F,ANY ANTIMICROBIALS,337.05009607,435072.0,233883.0,698736.54103,0.7093328389000001,-30.57805373,358.74011374
Z2,2011,F,BETA-L-PENICILLIN,119.87531037000001,110011.0,84688.0,698736.54103,0.41858435660000004,-5.790738682,122.29922299
Z2,2011,F,BETA-L-RESISTANT-PENICILLIN,3.2376965509,2564.0,2257.0,698736.54103,0.0695115466,-30.264173660000004,5.3414060675
Z2,2011,F,BETA-L-SENSITIVE-PENICILLIN,17.664598207,14071.0,12654.0,698736.54103,0.1594269667,-16.48441533,20.292658541
Z2,2011,F,CARBAPENEMS,0.0702099492,168.0,45.0,698736.54103,0.0106526233,1.8732499608,0.050254923
Z2,2011,F,COMBINATION PENICILLIN,15.943887083,13060.0,11020.0,698736.54103,0.1545739921,-40.230678770000004,22.162503705000002
Z2,2011,F,COMBINATION SULFONAMIDES & TRIMETHORPIM,23.638450735000003,23038.0,15947.0,698736.54103,0.1906524145,-26.731688290000005,28.734911651000004
Z2,2011,F,FIRST-G-CEPHALOSPORINS,41.512841222,35716.0,28345.0,698736.54103,0.2513466981,-8.583333498,43.670233755
Z2,2011,F,FLUOROQUINOLONES,69.560698171,60324.0,45449.0,698736.54103,0.33267358480000003,-37.35908873,81.98908014300001
Z2,2011,F,GLYCOPEPTIDE ANTIBACTERIALS,0.21374558130000001,357.0,140.0,698736.54103,0.0184449791,4.604226603600001,0.1288207179
Z2,2011,F,IMIDAZOLE DERIVATIVES,0.43637063600000003,382.0,320.0,698736.54103,0.024817386,0.0081255808,0.4361689804
Z2,2011,F,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,698736.54103,0.0028622928,0.0,0.0
Z2,2011,F,LINCOSAMIDES,15.014004687,12879.0,10136.0,698736.54103,0.1518933539,-46.05597336,22.009600947
Z2,2011,F,MACROLIDES,98.148679622,87349.0,68926.0,698736.54103,0.38023860640000007,-3.756535141,99.577059309
Z2,2011,F,NITROFURAN DERIVATIVES,30.974222303,28763.0,20905.0,698736.54103,0.21877392850000002,4.3092015004999995,30.031481362
Z2,2011,F,OTHER AMINOGLYCOSIDES,0.2179635185,354.0,147.0,698736.54103,0.0183116883,2.8662356981,0.1654779037
Z2,2011,F,OTHER ANTIBACTERIALS,0.0943364938,123.0,55.0,698736.54103,0.0128978779,2.7160136426,0.0593056814
Z2,2011,F,OTHER CEPHALOSPORINS,0.0,0.0,0.0,698736.54103,0.0028622928,0.0,0.0
Z2,2011,F,SECOND-G-CEPHALOSPORINS,18.908211431,15788.0,13284.0,698736.54103,0.1666429956,-1.2335899470000002,19.113780555
Z2,2011,F,STEROID ANTIBACTERIALS,0.0,0.0,0.0,698736.54103,0.0028622928,0.0,0.0
Z2,2011,F,STREPTOMYCIN,0.0,0.0,0.0,698736.54103,0.0028622928,0.0,0.0
Z2,2011,F,TETRACYCLINES,21.684144259,26043.0,15333.0,698736.54103,0.17807928090000003,-18.07619808,24.903140615
Z2,2011,F,THIRD-G-CEPHALOSPORINS,3.3370907978,3017.0,2407.0,698736.54103,0.0690713378,-41.98155357,6.236812866
Z2,2011,F,TRIMETHOPRIM AND DERIVATIVES,0.6084892789,1199.0,392.0,698736.54103,0.0313079406,2.2420594029000003,0.5382950164
Z2,2011,M,ANY ANTIMICROBIALS,254.9177173,304087.0,175052.0,713430.53966,0.635713343,-18.56227688,266.71800437999997
Z2,2011,M,BETA-L-PENICILLIN,99.11485894100001,92113.0,70183.0,713430.53966,0.3877970706,0.6437268941000001,98.865223537
Z2,2011,M,BETA-L-RESISTANT-PENICILLIN,3.1269399435,2434.0,2078.0,713430.53966,0.0720658473,-28.955310330000003,5.2136289154
Z2,2011,M,BETA-L-SENSITIVE-PENICILLIN,14.253405911000002,11325.0,10121.0,713430.53966,0.1463166186,-9.683420913,15.670251315000002
Z2,2011,M,CARBAPENEMS,0.0844471476,167.0,51.0,713430.53966,0.0122783883,1.5177286165,0.0658118863
Z2,2011,M,COMBINATION PENICILLIN,12.933027248,10360.0,8832.0,713430.53966,0.1444012152,-32.81530042000001,17.671596503
Z2,2011,M,COMBINATION SULFONAMIDES & TRIMETHORPIM,10.924166052,12179.0,6736.0,713430.53966,0.1415953553,-3.3620123310000003,11.400211382
Z2,2011,M,FIRST-G-CEPHALOSPORINS,37.272281883000005,31512.0,24618.0,713430.53966,0.2499998585,-10.90427717,39.99834963200001
Z2,2011,M,FLUOROQUINOLONES,42.235329384,33456.0,24796.0,713430.53966,0.2837069728,-17.77668413,47.278698626
Z2,2011,M,GLYCOPEPTIDE ANTIBACTERIALS,0.2975815149,550.0,191.0,713430.53966,0.0223225092,5.1969225634,0.1815731629
Z2,2011,M,IMIDAZOLE DERIVATIVES,0.2357599739,246.0,157.0,713430.53966,0.0195885591,2.8710242467000002,0.1795207457
Z2,2011,M,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,713430.53966,0.0028033406,0.0,0.0
Z2,2011,M,LINCOSAMIDES,11.0047948,9120.0,7353.0,713430.53966,0.1338159776,-40.66712523,16.446705921000003
Z2,2011,M,MACROLIDES,73.12543802200001,64227.0,52038.0,713430.53966,0.33173304880000004,0.4248144005,72.984513046
Z2,2011,M,NITROFURAN DERIVATIVES,2.9252649184000004,2311.0,1473.0,713430.53966,0.0812065511,-0.504833645,2.9662607177000004
Z2,2011,M,OTHER AMINOGLYCOSIDES,0.1531085686,295.0,95.0,713430.53966,0.0167644902,1.2255606587,0.13256266900000002
Z2,2011,M,OTHER ANTIBACTERIALS,0.0879413523,145.0,47.0,713430.53966,0.0136896007,2.1337555922,0.0587310902
Z2,2011,M,OTHER CEPHALOSPORINS,0.0,0.0,0.0,713430.53966,0.0028033406,0.0,0.0
Z2,2011,M,POLYMYXINS,0.011461039,24.0,7.0,713430.53966,0.0045484171,1.2107613986,0.0059539912
Z2,2011,M,SECOND-G-CEPHALOSPORINS,15.887198366000002,13497.0,11222.0,713430.53966,0.15588535590000002,5.309899295200001,15.059462824
Z2,2011,M,STEROID ANTIBACTERIALS,0.0,0.0,0.0,713430.53966,0.0028033406,0.0,0.0
Z2,2011,M,STREPTOMYCIN,0.0,0.0,0.0,713430.53966,0.0028033406,0.0,0.0
Z2,2011,M,TETRACYCLINES,14.967433545,18177.0,10123.0,713430.53966,0.1545630669,-8.348969817,16.257875926
Z2,2011,M,THIRD-G-CEPHALOSPORINS,1.9743728235000002,1873.0,1399.0,713430.53966,0.0554227526,-15.91503789,2.8564280314
Z2,2011,M,TRIMETHOPRIM AND DERIVATIVES,0.1354202078,195.0,81.0,713430.53966,0.0162336626,-0.561991026,0.1445433805
Z2,2012,BOTH,ANY ANTIMICROBIALS,304.64195402,784593.0,434481.0,1450540.3365,0.4730192268,-30.1997311,318.92700748000004
Z2,2012,BOTH,BETA-L-PENICILLIN,113.11129162,216027.0,165306.0,1450540.3365,0.2840155626,2.6752024504,112.3514925
Z2,2012,BOTH,BETA-L-RESISTANT-PENICILLIN,3.073146456,5021.0,4301.0,1450540.3365,0.0481427734,-35.16143709,4.7659155541
Z2,2012,BOTH,BETA-L-SENSITIVE-PENICILLIN,16.251883037,26767.0,23849.0,1450540.3365,0.1071909652,-10.55353136,17.38312625
Z2,2012,BOTH,CARBAPENEMS,0.0977747061,276.0,122.0,1450540.3365,0.009072369,1.8823074564,0.0806977182
Z2,2012,BOTH,COMBINATION PENICILLIN,16.305039488000002,27055.0,23123.0,1450540.3365,0.10986413290000001,-49.5422581,21.747956717000005
Z2,2012,BOTH,COMBINATION SULFONAMIDES & TRIMETHORPIM,15.602552081,32710.0,21073.0,1450540.3365,0.11046062540000001,-23.05447931,18.149164284
Z2,2012,BOTH,FIRST-G-CEPHALOSPORINS,41.972352017000006,74020.0,58365.0,1450540.3365,0.17835044020000002,-13.720326020000002,44.419378202000004
Z2,2012,BOTH,FLUOROQUINOLONES,55.90276454400001,96840.0,72796.0,1450540.3365,0.2128778101,-39.20625331,64.248905893
Z2,2012,BOTH,GLYCOPEPTIDE ANTIBACTERIALS,0.32868390830000005,1178.0,431.0,1450540.3365,0.0162727216,7.781673119400001,0.2020549081
Z2,2012,BOTH,IMIDAZOLE DERIVATIVES,0.6780548326000001,1347.0,1014.0,1450540.3365,0.0217729618,2.3690646562000004,0.6264732785000001
Z2,2012,BOTH,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,1450540.3365,0.0013787927,0.0,0.0
Z2,2012,BOTH,LINCOSAMIDES,12.953218202,22476.0,17908.0,1450540.3365,0.0991012929,-66.73143837,19.566390022
Z2,2012,BOTH,MACROLIDES,89.574908576,164023.0,130654.0,1450540.3365,0.25295338030000003,4.9635544409,88.31936070100001
Z2,2012,BOTH,MONOBACTAMS,0.0088477312,37.0,13.0,1450540.3365,0.0024976506,-1.2601567540000003,0.0119951625
Z2,2012,BOTH,NITROFURAN DERIVATIVES,18.866963869,34945.0,25557.0,1450540.3365,0.1216294663,3.9609598734,18.385194434000002
Z2,2012,BOTH,OTHER AMINOGLYCOSIDES,0.1825484508,621.0,244.0,1450540.3365,0.012007059,2.8376220265,0.14847695560000002
Z2,2012,BOTH,OTHER ANTIBACTERIALS,0.0762167517,183.0,95.0,1450540.3365,0.0080141136,1.3296672909,0.065560647
Z2,2012,BOTH,OTHER CEPHALOSPORINS,0.0,0.0,0.0,1450540.3365,0.0013787927,0.0,0.0
Z2,2012,BOTH,POLYMYXINS,0.006435708,36.0,9.0,1450540.3365,0.0022001735,0.1884664048,0.0060210493
Z2,2012,BOTH,SECOND-G-CEPHALOSPORINS,15.585737696,26563.0,22595.0,1450540.3365,0.1059347174,-0.8682354990000001,15.677713978000002
Z2,2012,BOTH,STEROID ANTIBACTERIALS,0.0,0.0,0.0,1450540.3365,0.0013787927,0.0,0.0
Z2,2012,BOTH,STREPTOMYCIN,0.0,0.0,0.0,1450540.3365,0.0013787927,0.0,0.0
Z2,2012,BOTH,TETRACYCLINES,19.223208541,47148.0,27302.0,1450540.3365,0.11878711650000001,-18.29280175,21.396157714
Z2,2012,BOTH,THIRD-G-CEPHALOSPORINS,3.2463672205000003,6145.0,4824.0,1450540.3365,0.0478517383,-63.59918717,6.2896988811000005
Z2,2012,BOTH,TRIMETHOPRIM AND DERIVATIVES,0.41773962150000005,1255.0,538.0,1450540.3365,0.0185884896,1.5392019986,0.3891281811
Z2,2012,F,ANY ANTIMICROBIALS,346.44166712000003,460036.0,247265.0,718003.7663,0.7086092538000001,-26.734754480000003,365.38616154
Z2,2012,F,BETA-L-PENICILLIN,123.78023879,117006.0,89988.0,718003.7663,0.4191295957,-0.723840903,124.08362193
Z2,2012,F,BETA-L-RESISTANT-PENICILLIN,3.1333982874,2528.0,2222.0,718003.7663,0.0677442701,-24.08295576,4.7648805460000005
Z2,2012,F,BETA-L-SENSITIVE-PENICILLIN,18.090374046,14917.0,13221.0,718003.7663,0.1597182513,-9.755090999000002,19.648440122
Z2,2012,F,CARBAPENEMS,0.10490865140000001,147.0,69.0,718003.7663,0.012853975,1.4517564409000001,0.0862478105
Z2,2012,F,COMBINATION PENICILLIN,18.183017785,15137.0,12942.0,718003.7663,0.162575133,-37.27060411,24.242291205000004
Z2,2012,F,COMBINATION SULFONAMIDES & TRIMETHORPIM,21.066338314,20925.0,14608.0,718003.7663,0.17734825469999999,-26.472967770000004,25.761272944
Z2,2012,F,FIRST-G-CEPHALOSPORINS,44.273320394,39546.0,31166.0,718003.7663,0.25547196,-6.537554339,45.94348221400001
Z2,2012,F,FLUOROQUINOLONES,69.711782215,61957.0,46942.0,718003.7663,0.3276330632,-37.19311311,81.89747579200001
Z2,2012,F,GLYCOPEPTIDE ANTIBACTERIALS,0.288803262,510.0,191.0,718003.7663,0.021256237,5.0808403031,0.1808037165
Z2,2012,F,IMIDAZOLE DERIVATIVES,0.9109415732,880.0,690.0,718003.7663,0.0352977875,-0.029026869,0.9119661574
Z2,2012,F,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,718003.7663,0.0027854852,0.0,0.0
Z2,2012,F,LINCOSAMIDES,15.148748774000001,13221.0,10473.0,718003.7663,0.1505855321,-47.492263400000006,22.300396527
Z2,2012,F,MACROLIDES,102.28437095,93912.0,73973.0,718003.7663,0.38223154140000004,1.8348363771,101.58303861
Z2,2012,F,NITROFURAN DERIVATIVES,34.440993557999995,32442.0,23960.0,718003.7663,0.2269529532,3.5776676411,33.629031321
Z2,2012,F,OTHER AMINOGLYCOSIDES,0.2165917085,357.0,148.0,718003.7663,0.0181087091,2.7208703171,0.16732025960000002
Z2,2012,F,OTHER ANTIBACTERIALS,0.0891472821,124.0,56.0,718003.7663,0.012088089,0.6016233294000001,0.0818748057
Z2,2012,F,OTHER CEPHALOSPORINS,0.0,0.0,0.0,718003.7663,0.0027854852,0.0,0.0
Z2,2012,F,SECOND-G-CEPHALOSPORINS,17.00248544,14308.0,12252.0,718003.7663,0.1559867847,-4.183109918,17.654995306
Z2,2012,F,STEROID ANTIBACTERIALS,0.0,0.0,0.0,718003.7663,0.0027854852,0.0,0.0
Z2,2012,F,STREPTOMYCIN,0.0,0.0,0.0,718003.7663,0.0027854852,0.0,0.0
Z2,2012,F,TETRACYCLINES,22.655050169000003,27215.0,16234.0,718003.7663,0.1807190896,-18.41890963,25.983698750000002
