Geography,Year,Sex,Age,Drug Type,Dispensation Rate,Total Dispensation,Unique Dispensation,Total Population,Standard Error,Standard Score,Alberta Rate
Z2,2010,BOTH,ALL,NITROFURAN DERIVATIVES,13.543704712,26363.0,18760.0,1385145.3792,0.0988828692,0.7214266803,13.472367972
Z2,2010,BOTH,ALL,OTHER AMINOGLYCOSIDES,0.1833742536,647.0,254.0,1385145.3792,0.011505924,3.5948802864,0.14201183420000002
Z2,2010,BOTH,ALL,OTHER ANTIBACTERIALS,0.0599215081,316.0,83.0,1385145.3792,0.00657724,0.8812576311,0.0541252651
Z2,2010,BOTH,ALL,OTHER CEPHALOSPORINS,0.0,0.0,0.0,1385145.3792,0.0014438876,0.0,0.0
Z2,2010,BOTH,ALL,POLYMYXINS,0.0064975129,39.0,9.0,1385145.3792,0.0021658376,0.6494127775,0.0050909903
Z2,2010,BOTH,ALL,SECOND-G-CEPHALOSPORINS,16.344132782,26834.0,22639.0,1385145.3792,0.10862586860000001,-0.309161732,16.377715743
Z2,2010,BOTH,ALL,STEROID ANTIBACTERIALS,0.0,0.0,0.0,1385145.3792,0.0014438876,-0.18557321100000002,2.679469E-4
Z2,2010,BOTH,ALL,STREPTOMYCIN,0.0,0.0,0.0,1385145.3792,0.0014438876,0.0,0.0
Z2,2010,BOTH,ALL,TETRACYCLINES,18.354752058,43397.0,25424.0,1385145.3792,0.1151135858,-11.630304380000002,19.693558099
Z2,2010,BOTH,ALL,THIRD-G-CEPHALOSPORINS,2.7405065612,4931.0,3796.0,1385145.3792,0.0444803037,-23.169300070000002,3.7710840661000002
Z2,2010,BOTH,ALL,TRIMETHOPRIM AND DERIVATIVES,0.3927385588,1433.0,544.0,1385145.3792,0.0168385268,2.6690896972,0.34779502040000004
Z2,2010,F,ALL,ANY ANTIMICROBIALS,305.82807092,384609.0,209157.0,683903.86588,0.6687151206,-33.6887129,328.35622263
Z2,2010,F,ALL,BETA-L-PENICILLIN,106.65534096,94384.0,72942.0,683903.86588,0.3949060388,-7.8833632950000005,109.76852873
Z2,2010,F,ALL,BETA-L-RESISTANT-PENICILLIN,4.0283439493,3071.0,2755.0,683903.86588,0.076747766,-30.24282463,6.349413178100001
Z2,2010,F,ALL,BETA-L-SENSITIVE-PENICILLIN,17.655990268,13624.0,12075.0,683903.86588,0.1606750749,-15.53238214,20.151656931
Z2,2010,F,ALL,CARBAPENEMS,0.0891938225,138.0,61.0,683903.86588,0.0114200987,2.6622326484000003,0.0587908628
Z2,2010,F,ALL,COMBINATION PENICILLIN,9.239602691600002,7459.0,6319.0,683903.86588,0.11623291220000001,-37.61043817,13.611173449
Z2,2010,F,ALL,COMBINATION SULFONAMIDES & TRIMETHORPIM,22.984224515,22544.0,15719.0,683903.86588,0.1833231868,-29.431254690000003,28.379655918
Z2,2010,F,ALL,FIRST-G-CEPHALOSPORINS,35.61319246,30324.0,24356.0,683903.86588,0.2281959456,-9.028727512,37.673511473000005
Z2,2010,F,ALL,FLUOROQUINOLONES,62.377187977000006,56927.0,42660.0,683903.86588,0.30200585790000006,-39.78949604,74.393848865
Z2,2010,F,ALL,GLYCOPEPTIDE ANTIBACTERIALS,0.1447571873,282.0,99.0,683903.86588,0.0145486447,2.8407331677000003,0.10342836970000001
Z2,2010,F,ALL,IMIDAZOLE DERIVATIVES,0.5658690049,439.0,387.0,683903.86588,0.0287647381,0.9180825137,0.5394606018
Z2,2010,F,ALL,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,ALL,LINCOSAMIDES,14.05022033,12212.0,9609.0,683903.86588,0.14333228950000002,-44.756055260000004,20.465208199000003
Z2,2010,F,ALL,MACROLIDES,85.561733044,73663.0,58516.0,683903.86588,0.35370586160000006,-12.255775730000002,89.89667275900001
Z2,2010,F,ALL,NITROFURAN DERIVATIVES,25.690745259,24405.0,17570.0,683903.86588,0.19381653370000002,1.3099947318,25.436846621
Z2,2010,F,ALL,OTHER AMINOGLYCOSIDES,0.2324888159,399.0,159.0,683903.86588,0.0184375624,3.575022734,0.16657411119999999
Z2,2010,F,ALL,OTHER ANTIBACTERIALS,0.0716474967,205.0,49.0,683903.86588,0.0102353567,-0.073506186,0.0723998588
Z2,2010,F,ALL,OTHER CEPHALOSPORINS,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,ALL,SECOND-G-CEPHALOSPORINS,18.13266545,14615.0,12401.0,683903.86588,0.16282957720000002,-3.346228876,18.677530483
Z2,2010,F,ALL,STEROID ANTIBACTERIALS,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,ALL,STREPTOMYCIN,0.0,0.0,0.0,683903.86588,0.0029243705,0.0,0.0
Z2,2010,F,ALL,TETRACYCLINES,22.848240490000002,25935.0,15626.0,683903.86588,0.1827800751,-9.966092392,24.669843606
Z2,2010,F,ALL,THIRD-G-CEPHALOSPORINS,3.4537017815000004,2977.0,2362.0,683903.86588,0.0710632209,-23.89590178,5.1518215293
Z2,2010,F,ALL,TRIMETHOPRIM AND DERIVATIVES,0.6433652768000001,1140.0,440.0,683903.86588,0.0306712361,2.9439856489000005,0.5530695978
Z2,2010,M,ALL,ANY ANTIMICROBIALS,218.85327249000002,264914.0,153469.0,701241.51335,0.5586537435,-25.871949,233.30673365
Z2,2010,M,ALL,BETA-L-PENICILLIN,85.67376411100001,77980.0,60078.0,701241.51335,0.34953455370000003,-3.216842277,86.79816164100001
Z2,2010,M,ALL,BETA-L-RESISTANT-PENICILLIN,3.6050347161,2989.0,2528.0,701241.51335,0.0717002907,-30.728116900000003,5.808249630300001
Z2,2010,M,ALL,BETA-L-SENSITIVE-PENICILLIN,14.132078337000001,11124.0,9910.0,701241.51335,0.141961052,-10.812441100000001,15.667023850000001
Z2,2010,M,ALL,CARBAPENEMS,0.0556156463,143.0,39.0,701241.51335,0.0089056308,1.4454908742,0.0427426383
Z2,2010,M,ALL,COMBINATION PENICILLIN,7.2057913056,5896.0,5053.0,701241.51335,0.1013694361,-34.3129581,10.684076521000001
Z2,2010,M,ALL,COMBINATION SULFONAMIDES & TRIMETHORPIM,10.139160139000001,12278.0,7110.0,701241.51335,0.12024504300000001,-5.084658086,10.750565069
Z2,2010,M,ALL,FIRST-G-CEPHALOSPORINS,29.976833373,26235.0,21021.0,701241.51335,0.20675645050000002,-14.118870410000001,32.896000904000005
Z2,2010,M,ALL,FLUOROQUINOLONES,32.285595717,30730.0,22640.0,701241.51335,0.21457078640000002,-23.53950636,37.336486108
Z2,2010,M,ALL,GLYCOPEPTIDE ANTIBACTERIALS,0.2310188386,417.0,162.0,701241.51335,0.0181505542,4.820128521100001,0.14353083490000001
Z2,2010,M,ALL,IMIDAZOLE DERIVATIVES,0.2381490497,204.0,167.0,701241.51335,0.0184285267,1.8127621211,0.20474251440000002
Z2,2010,M,ALL,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,701241.51335,0.0028520682,0.0,0.0
Z2,2010,M,ALL,LINCOSAMIDES,9.5402224093,8266.0,6690.0,701241.51335,0.1166394439,-44.248619960000006,14.701356836
Z2,2010,M,ALL,MACROLIDES,62.760117823,54368.0,44010.0,701241.51335,0.2991631283,-6.123495235000001,64.592041814
Z2,2010,M,ALL,NITROFURAN DERIVATIVES,1.6969902342,1958.0,1190.0,701241.51335,0.0491932893,-3.605239901,1.8743438436
Z2,2010,M,ALL,OTHER AMINOGLYCOSIDES,0.1354740103,248.0,95.0,701241.51335,0.0138993402,1.2426594397000001,0.118201864
Z2,2010,M,ALL,OTHER ANTIBACTERIALS,0.0484854353,111.0,34.0,701241.51335,0.0083151835,1.4521675419000002,0.0364103956
Z2,2010,M,ALL,OTHER CEPHALOSPORINS,0.0,0.0,0.0,701241.51335,0.0028520682,0.0,0.0
Z2,2010,M,ALL,SECOND-G-CEPHALOSPORINS,14.599820183,12219.0,10238.0,701241.51335,0.1442912329,3.1289441606,14.148340973000002
Z2,2010,M,ALL,STEROID ANTIBACTERIALS,0.0,0.0,0.0,701241.51335,0.0028520682,-0.185019033,5.276869E-4
Z2,2010,M,ALL,STREPTOMYCIN,0.0,0.0,0.0,701241.51335,0.0028520682,0.0,0.0
Z2,2010,M,ALL,TETRACYCLINES,13.972361609,17462.0,9798.0,701241.51335,0.1411565708,-6.356964759000001,14.869688955
Z2,2010,M,ALL,THIRD-G-CEPHALOSPORINS,2.0449445344,1954.0,1434.0,701241.51335,0.054001641,-7.179264089,2.4326365763
Z2,2010,M,ALL,TRIMETHOPRIM AND DERIVATIVES,0.1483083902,293.0,104.0,701241.51335,0.0145428341,-0.034333994,0.1488077038
Z2,2010,BOTH,00to04,ANY ANTIMICROBIALS,343.01593642,56173.0,30811.0,89823.814956,1.9541657654000002,-12.32054152,367.09231686
Z2,2010,BOTH,00to04,BETA-L-PENICILLIN,228.34701476,29056.0,20511.0,89823.814956,1.5944170175,-10.188473230000001,244.59168987
Z2,2010,BOTH,00to04,BETA-L-RESISTANT-PENICILLIN,1.6699357523,164.0,150.0,89823.814956,0.13634968320000002,-14.906700220000001,3.7024596055
Z2,2010,BOTH,00to04,BETA-L-SENSITIVE-PENICILLIN,6.201028093400001,639.0,557.0,89823.814956,0.2627459929,-7.013660296,8.0438392315
Z2,2010,BOTH,00to04,COMBINATION PENICILLIN,12.858505292,1371.0,1155.0,89823.814956,0.37835501590000004,-25.32413263,22.440017897
Z2,2010,BOTH,00to04,COMBINATION SULFONAMIDES & TRIMETHORPIM,19.939032882000003,2294.0,1791.0,89823.814956,0.4711468552,-16.0179673,27.485847802000002
Z2,2010,BOTH,00to04,FIRST-G-CEPHALOSPORINS,22.455069415,2281.0,2017.0,89823.814956,0.49999015480000003,-7.915596667,26.412789819000004
Z2,2010,BOTH,00to04,FLUOROQUINOLONES,0.3673858655000001,49.0,33.0,89823.814956,0.0639536703,-0.147186563,0.37679898640000004
Z2,2010,BOTH,00to04,FOURTH-G-CEPHALOSPORINS,0.0,0.0,0.0,89823.814956,0.0222648185,0.0,0.0
Z2,2010,BOTH,00to04,IMIDAZOLE DERIVATIVES,0.0,0.0,0.0,89823.814956,0.0222648185,-0.367902496,0.0081912823
Z2,2010,BOTH,00to04,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,89823.814956,0.0222648185,0.0,0.0
Z2,2010,BOTH,00to04,LINCOSAMIDES,1.458410557,140.0,131.0,89823.814956,0.12742192200000002,-7.100617980000001,2.3631849473
Z2,2010,BOTH,00to04,MACROLIDES,111.97475864,13247.0,10058.0,89823.814956,1.1165143761,-8.565400396,121.53815132
Z2,2010,BOTH,00to04,MONOBACTAMS,0.0,0.0,0.0,89823.814956,0.0222648185,0.0,0.0
Z2,2010,BOTH,00to04,NITROFURAN DERIVATIVES,1.0910246915,178.0,98.0,89823.814956,0.11021013680000001,-0.61738201,1.1590664473
Z2,2010,BOTH,00to04,OTHER AMINOGLYCOSIDES,0.1447277652,61.0,13.0,89823.814956,0.0401402599,-0.271712211,0.15563436390000002
Z2,2010,BOTH,00to04,OTHER ANTIBACTERIALS,0.0,0.0,0.0,89823.814956,0.0222648185,-0.183951248,0.0040956412
Z2,2010,BOTH,00to04,OTHER CEPHALOSPORINS,0.0,0.0,0.0,89823.814956,0.0222648185,0.0,0.0
Z2,2010,BOTH,00to04,SECOND-G-CEPHALOSPORINS,52.402583906000004,5968.0,4707.0,89823.814956,0.7638016687000001,7.4197568565,46.735361237
Z2,2010,BOTH,00to04,STEROID ANTIBACTERIALS,0.0,0.0,0.0,89823.814956,0.0222648185,0.0,0.0
Z2,2010,BOTH,00to04,STREPTOMYCIN,0.0,0.0,0.0,89823.814956,0.0222648185,0.0,0.0
Z2,2010,BOTH,00to04,TETRACYCLINES,0.0,0.0,0.0,89823.814956,0.0222648185,-0.551853744,0.0122869235
Z2,2010,BOTH,00to04,THIRD-G-CEPHALOSPORINS,6.2121609984,625.0,558.0,89823.814956,0.2629817452,-10.9052263,9.0800364441
Z2,2010,BOTH,00to04,TRIMETHOPRIM AND DERIVATIVES,0.4898478207,86.0,44.0,89823.814956,0.0738473375,3.4165163166000005,0.2375471871
Z2,2010,F,00to04,ANY ANTIMICROBIALS,331.87326908,26093.0,14523.0,43760.68021500001,2.7538742464,-8.396751066,354.99686560000004
Z2,2010,F,00to04,BETA-L-PENICILLIN,218.96368962,13475.0,9582.0,43760.68021500001,2.2368868644,-6.543013466,233.59967049
Z2,2010,F,00to04,BETA-L-RESISTANT-PENICILLIN,1.4167969898000001,63.0,62.0,43760.68021500001,0.1799333976,-10.85668163,3.3702766017
Z2,2010,F,00to04,BETA-L-SENSITIVE-PENICILLIN,5.781445781,294.0,253.0,43760.68021500001,0.36347638210000005,-4.396057534,7.379308868600001
Z2,2010,F,00to04,CARBAPENEMS,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,COMBINATION PENICILLIN,11.882813463000002,635.0,520.0,43760.68021500001,0.521095842,-17.728306659999998,21.120960349
Z2,2010,F,00to04,COMBINATION SULFONAMIDES & TRIMETHORPIM,25.776564589000003,1458.0,1128.0,43760.68021500001,0.7674860419,-12.43006313,35.316464540000005
Z2,2010,F,00to04,FIRST-G-CEPHALOSPORINS,20.269337580000002,1018.0,887.0,43760.68021500001,0.6805777487000001,-4.746183901,23.499484734000003
Z2,2010,F,00to04,FLUOROQUINOLONES,0.457031287,33.0,20.0,43760.68021500001,0.10219530260000001,0.2778270261,0.42863867
Z2,2010,F,00to04,FOURTH-G-CEPHALOSPORINS,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,IMIDAZOLE DERIVATIVES,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,LINCOSAMIDES,1.1882813463000002,56.0,52.0,43760.68021500001,0.164784974,-5.335862029,2.067551232
Z2,2010,F,00to04,MACROLIDES,103.15196148000001,5817.0,4514.0,43760.68021500001,1.5353122438,-5.303682378,111.29476998
Z2,2010,F,00to04,MONOBACTAMS,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,NITROFURAN DERIVATIVES,1.7138673264000002,133.0,75.0,43760.68021500001,0.1979003524,-0.89532751,1.8910529561
Z2,2010,F,00to04,OTHER AMINOGLYCOSIDES,0.1371093861,39.0,6.0,43760.68021500001,0.0559746725,-0.553539817,0.16809359610000002
Z2,2010,F,00to04,OTHER ANTIBACTERIALS,0.0,0.0,0.0,43760.68021500001,0.0456989515,-0.183914062,0.0084046798
Z2,2010,F,00to04,OTHER CEPHALOSPORINS,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,SECOND-G-CEPHALOSPORINS,48.125394525000004,2621.0,2106.0,43760.68021500001,1.0486851529,4.784841086,43.107602719
Z2,2010,F,00to04,STEROID ANTIBACTERIALS,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,STREPTOMYCIN,0.0,0.0,0.0,43760.68021500001,0.0456989515,0.0,0.0
Z2,2010,F,00to04,TETRACYCLINES,0.0,0.0,0.0,43760.68021500001,0.0456989515,-0.36782812400000003,0.0168093596
Z2,2010,F,00to04,THIRD-G-CEPHALOSPORINS,8.249414731000002,408.0,361.0,43760.68021500001,0.43417972270000005,-7.984502122,11.716123648000002
Z2,2010,F,00to04,TRIMETHOPRIM AND DERIVATIVES,0.36562502960000004,45.0,16.0,43760.68021500001,0.0914062574,2.0690788475,0.1764982759
Z2,2010,M,00to04,ANY ANTIMICROBIALS,353.60164026,30080.0,16288.0,46063.13474200001,2.7706418546,-9.018531959,378.58876237
Z2,2010,M,00to04,BETA-L-PENICILLIN,237.2613167,15581.0,10929.0,46063.13474200001,2.2695341564000002,-7.8333398260000004,255.03934899
Z2,2010,M,00to04,BETA-L-RESISTANT-PENICILLIN,1.9104214356000002,101.0,88.0,46063.13474200001,0.2036516093,-10.34988335,4.0181918356
Z2,2010,M,00to04,BETA-L-SENSITIVE-PENICILLIN,6.5996376865,345.0,304.0,46063.13474200001,0.3785151808,-5.4841188050000005,8.6754599074
Z2,2010,M,00to04,COMBINATION PENICILLIN,13.785427404000002,736.0,635.0,46063.13474200001,0.5470579994,-18.1120175,23.69375146
Z2,2010,M,00to04,COMBINATION SULFONAMIDES & TRIMETHORPIM,14.39328877,836.0,663.0,46063.13474200001,0.5589890163,-10.10706745,20.04302846
Z2,2010,M,00to04,FIRST-G-CEPHALOSPORINS,24.531547979,1263.0,1130.0,46063.13474200001,0.7297695395000001,-6.372245494,29.181818639000003
Z2,2010,M,00to04,FLUOROQUINOLONES,0.2822213484,16.0,13.0,46063.13474200001,0.0782741187,-0.578802079,0.32752657110000005
Z2,2010,M,00to04,FOURTH-G-CEPHALOSPORINS,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,IMIDAZOLE DERIVATIVES,0.0,0.0,0.0,46063.13474200001,0.043414899,-0.36800513900000004,0.0159769059
Z2,2010,M,00to04,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,LINCOSAMIDES,1.7150374251000002,84.0,79.0,46063.13474200001,0.19295678570000002,-4.815277676000001,2.6441779276
Z2,2010,M,00to04,MACROLIDES,120.35655044,7430.0,5544.0,46063.13474200001,1.6164345369000002,-6.754184406,131.27424738000002
Z2,2010,M,00to04,MONOBACTAMS,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,NITROFURAN DERIVATIVES,0.4993146934,45.0,23.0,46063.13474200001,0.1041143107,0.34562416870000007,0.46333027130000004
Z2,2010,M,00to04,OTHER AMINOGLYCOSIDES,0.15196534150000002,22.0,7.0,46063.13474200001,0.0574375002,0.1422970755,0.1437921532
Z2,2010,M,00to04,OTHER ANTIBACTERIALS,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,OTHER CEPHALOSPORINS,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,POLYMYXINS,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,SECOND-G-CEPHALOSPORINS,56.465979022000006,3347.0,2601.0,46063.13474200001,1.1071760593000002,5.6743618288,50.183461453
Z2,2010,M,00to04,STEROID ANTIBACTERIALS,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,STREPTOMYCIN,0.0,0.0,0.0,46063.13474200001,0.043414899,0.0,0.0
Z2,2010,M,00to04,TETRACYCLINES,0.0,0.0,0.0,46063.13474200001,0.043414899,-0.184002569,0.007988453
Z2,2010,M,00to04,THIRD-G-CEPHALOSPORINS,4.2767388955,217.0,197.0,46063.13474200001,0.30470502990000004,-7.540925354,6.5744967807
Z2,2010,M,00to04,TRIMETHOPRIM AND DERIVATIVES,0.6078613659000001,41.0,28.0,46063.13474200001,0.11487500040000001,2.7185079912,0.29557275930000004
Z2,2010,BOTH,05to09,ANY ANTIMICROBIALS,264.73659878,34063.0,20790.0,78530.887288,1.8360594547,-7.22611866,278.00418227
Z2,2010,BOTH,05to09,BETA-L-PENICILLIN,157.18655966000003,16545.0,12344.0,78530.887288,1.4147752449000002,-1.833391233,159.78039619
Z2,2010,BOTH,05to09,BETA-L-RESISTANT-PENICILLIN,1.7954718821000002,160.0,141.0,78530.887288,0.15120600950000002,-9.747350965,3.2693299244
Z2,2010,BOTH,05to09,BETA-L-SENSITIVE-PENICILLIN,12.861181567000001,1107.0,1010.0,78530.887288,0.40468786570000004,-10.237615250000001,17.00422023
Z2,2010,BOTH,05to09,CARBAPENEMS,0.0,0.0,0.0,78530.887288,0.0254663891,-0.18183885100000002,0.0046307789
Z2,2010,BOTH,05to09,COMBINATION PENICILLIN,7.5511689792,686.0,593.0,78530.887288,0.31008934400000004,-21.33057422,14.165552746000001
Z2,2010,BOTH,05to09,COMBINATION SULFONAMIDES & TRIMETHORPIM,16.503060703,1663.0,1296.0,78530.887288,0.4584183529,-9.113941383,20.6810587
Z2,2010,BOTH,05to09,FIRST-G-CEPHALOSPORINS,18.960692428,1642.0,1489.0,78530.887288,0.49136797120000003,-6.432121555,22.121230948
Z2,2010,BOTH,05to09,FLUOROQUINOLONES,0.7385629018000001,85.0,58.0,78530.887288,0.0969780601,-0.454110314,0.7826016391
Z2,2010,BOTH,05to09,GLYCOPEPTIDE ANTIBACTERIALS,0.0,0.0,0.0,78530.887288,0.0254663891,-0.18183885100000002,0.0046307789
Z2,2010,BOTH,05to09,IMIDAZOLE DERIVATIVES,0.0,0.0,0.0,78530.887288,0.0254663891,-0.545516552,0.0138923368
Z2,2010,BOTH,05to09,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,78530.887288,0.0254663891,0.0,0.0
Z2,2010,BOTH,05to09,LINCOSAMIDES,2.5849701565,229.0,203.0,78530.887288,0.1814293374,-6.707290905,3.8018695013
Z2,2010,BOTH,05to09,MACROLIDES,81.38199147800002,8044.0,6391.0,78530.887288,1.0179909202,-2.160075677,83.580928904
Z2,2010,BOTH,05to09,NITROFURAN DERIVATIVES,1.6171980782000002,298.0,127.0,78530.887288,0.1435031242,-0.799378008,1.7319113197000002
Z2,2010,BOTH,05to09,OTHER AMINOGLYCOSIDES,0.2037414902,36.0,16.0,78530.887288,0.0509353725,0.2724934236,0.18986193610000002
Z2,2010,BOTH,05to09,OTHER CEPHALOSPORINS,0.0,0.0,0.0,78530.887288,0.0254663891,0.0,0.0
Z2,2010,BOTH,05to09,SECOND-G-CEPHALOSPORINS,32.331227721000005,3127.0,2539.0,78530.887288,0.6416391370000001,6.133184676700001,28.395936397
Z2,2010,BOTH,05to09,STEROID ANTIBACTERIALS,0.0,0.0,0.0,78530.887288,0.0254663891,0.0,0.0
Z2,2010,BOTH,05to09,STREPTOMYCIN,0.0,0.0,0.0,78530.887288,0.0254663891,0.0,0.0
Z2,2010,BOTH,05to09,TETRACYCLINES,0.0764030588,9.0,6.0,78530.887288,0.0311914181,-0.8167014890000001,0.1018771365
Z2,2010,BOTH,05to09,THIRD-G-CEPHALOSPORINS,4.7369896463000005,436.0,372.0,78530.887288,0.2456014721,-4.149277098000001,5.7560582097
Z2,2010,BOTH,05to09,TRIMETHOPRIM AND DERIVATIVES,0.1018707451,24.0,8.0,78530.887288,0.0360167473,1.1569789636,0.0602001261
Z2,2010,F,05to09,ANY ANTIMICROBIALS,270.7007536,17137.0,10358.0,38263.654099,2.6598154934,-6.398985673,287.72087483999996
Z2,2010,F,05to09,BETA-L-PENICILLIN,157.95668611,8084.0,6044.0,38263.654099,2.0317758127,-2.331430901,162.69363103000003
Z2,2010,F,05to09,BETA-L-RESISTANT-PENICILLIN,1.6464710829,69.0,63.0,38263.654099,0.2074358584,-8.0062096,3.3072460437
Z2,2010,F,05to09,BETA-L-SENSITIVE-PENICILLIN,12.701348354,539.0,486.0,38263.654099,0.5761448613,-8.128403755999999,17.384486409
Z2,2010,F,05to09,CARBAPENEMS,0.0,0.0,0.0,38263.654099,0.0522634598,-0.182363901,0.0095309684
Z2,2010,F,05to09,COMBINATION PENICILLIN,8.127817568,370.0,311.0,38263.654099,0.460886251,-14.645748550000002,14.877841713
Z2,2010,F,05to09,COMBINATION SULFONAMIDES & TRIMETHORPIM,24.357318242,1214.0,932.0,38263.654099,0.7978504867,-8.964164956000001,31.509381616
Z2,2010,F,05to09,FIRST-G-CEPHALOSPORINS,18.921350223,800.0,724.0,38263.654099,0.703206443,-4.116908388000001,21.816386727
Z2,2010,F,05to09,FLUOROQUINOLONES,0.8101683106,46.0,31.0,38263.654099,0.1455105241,-0.39275383300000005,0.8673181267000001
Z2,2010,F,05to09,FOURTH-G-CEPHALOSPORINS,0.0,0.0,0.0,38263.654099,0.0522634598,0.0,0.0
Z2,2010,F,05to09,GLYCOPEPTIDE ANTIBACTERIALS,0.0,0.0,0.0,38263.654099,0.0522634598,0.0,0.0
Z2,2010,F,05to09,IMIDAZOLE DERIVATIVES,0.0,0.0,0.0,38263.654099,0.0522634598,-0.3647278030000001,0.0190619369
Z2,2010,F,05to09,INTERMEDIATE-ACTING SULFONAMIDES,0.0,0.0,0.0,38263.654099,0.0522634598,0.0,0.0
Z2,2010,F,05to09,LINCOSAMIDES,2.352101547,95.0,90.0,38263.654099,0.2479332726,-5.005675667,3.5931750965
Z2,2010,F,05to09,MACROLIDES,79.501032289,3794.0,3042.0,38263.654099,1.4414286934000002,-1.7962725270000002,82.090231051
Z2,2010,F,05to09,NITROFURAN DERIVATIVES,3.0838664728,271.0,118.0,38263.654099,0.28389292,-0.24968596,3.1547505489
Z2,2010,F,05to09,OTHER AMINOGLYCOSIDES,0.1568067698,12.0,6.0,38263.654099,0.0640160957,-0.37930508000000007,0.1810884001
Z2,2010,F,05to09,OTHER CEPHALOSPORINS,0.0,0.0,0.0,38263.654099,0.0522634598,0.0,0.0
